ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002437	inflammatory response to antigenic stimulus	4/153	79/18903	0.00387354117318182	0.0370456260273669	0.0301515703008613	FCGR1A/IL1RN/NOD2/CD6	4
BP	GO:0002720	positive regulation of cytokine production involved in immune response	4/153	79/18903	0.00387354117318182	0.0370456260273669	0.0301515703008613	RSAD2/FFAR2/NOD2/MYD88	4
BP	GO:0043299	leukocyte degranulation	4/153	79/18903	0.00387354117318182	0.0370456260273669	0.0301515703008613	CEACAM1/LGALS9/PTGDS/BLK	4
BP	GO:0072524	pyridine-containing compound metabolic process	4/153	79/18903	0.00387354117318182	0.0370456260273669	0.0301515703008613	PARP9/CD38/KYNU/PARP10	4
BP	GO:0030218	erythrocyte differentiation	5/153	128/18903	0.00387651705579531	0.0370456260273669	0.0301515703008613	ISG15/STAT1/MAFB/JAK2/KLF13	5
BP	GO:0051090	regulation of DNA-binding transcription factor activity	10/153	454/18903	0.00392973555276765	0.037408645417044	0.0304470331077347	EIF2AK2/TRIM22/LGALS9/NOD2/TLR2/JAK2/MYD88/TRIM21/PARP10/ID3	10
BP	GO:0032490	detection of molecule of bacterial origin	2/153	12/18903	0.00407299864240087	0.0381804758234219	0.0310752286939303	NOD2/TLR2	2
BP	GO:0070213	protein auto-ADP-ribosylation	2/153	12/18903	0.00407299864240087	0.0381804758234219	0.0310752286939303	PARP12/PARP10	2
BP	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	2/153	12/18903	0.00407299864240087	0.0381804758234219	0.0310752286939303	GBP5/MYD88	2
BP	GO:2001214	positive regulation of vasculogenesis	2/153	12/18903	0.00407299864240087	0.0381804758234219	0.0310752286939303	CEACAM1/RIN2	2
BP	GO:0050853	B cell receptor signaling pathway	5/153	130/18903	0.00414065671668909	0.0386671212782829	0.0314713112066943	CD38/CD79A/BLK/CD79B/CD19	5
BP	GO:0001909	leukocyte mediated cytotoxicity	5/153	134/18903	0.00470712218629083	0.0432334496018912	0.0351878625038537	FCGR1A/CEACAM1/LGALS9/MYD88/KLRB1	5
BP	GO:0002714	positive regulation of B cell mediated immunity	3/153	42/18903	0.00473710885156783	0.0432334496018912	0.0351878625038537	FCGR1A/NOD2/FCER2	3
BP	GO:0002891	positive regulation of immunoglobulin mediated immune response	3/153	42/18903	0.00473710885156783	0.0432334496018912	0.0351878625038537	FCGR1A/NOD2/FCER2	3
BP	GO:0032735	positive regulation of interleukin-12 production	3/153	42/18903	0.00473710885156783	0.0432334496018912	0.0351878625038537	LGALS9/NOD2/TLR2	3
BP	GO:0050691	regulation of defense response to virus by host	3/153	42/18903	0.00473710885156783	0.0432334496018912	0.0351878625038537	PARP9/STAT1/DTX3L	3
BP	GO:0022409	positive regulation of cell-cell adhesion	8/153	322/18903	0.00476981446469982	0.0432334496018912	0.0351878625038537	CCL2/TNFSF13B/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	8
BP	GO:0032494	response to peptidoglycan	2/153	13/18903	0.00478806933701727	0.0432334496018912	0.0351878625038537	NOD2/MYD88	2
BP	GO:0097048	dendritic cell apoptotic process	2/153	13/18903	0.00478806933701727	0.0432334496018912	0.0351878625038537	LGALS9/BLK	2
BP	GO:2000668	regulation of dendritic cell apoptotic process	2/153	13/18903	0.00478806933701727	0.0432334496018912	0.0351878625038537	LGALS9/BLK	2
BP	GO:0031397	negative regulation of protein ubiquitination	4/153	84/18903	0.00482225554650914	0.0433826359788515	0.0353092858408362	ISG15/DTX3L/CDC20/PARP10	4
BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	6/153	193/18903	0.00490060576516325	0.0439265976614633	0.0357520182406646	FCGR1A/PARP9/PARP14/NOD2/JAK2/SH2D1B	6
BP	GO:0002251	organ or tissue specific immune response	3/153	43/18903	0.00506251591136657	0.0452128693756956	0.036798919485876	RNASE2/FFAR2/NOD2	3
BP	GO:0034101	erythrocyte homeostasis	5/153	137/18903	0.0051666552576122	0.0459757438865781	0.0374198258360243	ISG15/STAT1/MAFB/JAK2/KLF13	5
BP	GO:0035563	positive regulation of chromatin binding	2/153	14/18903	0.00555653689791112	0.0485653189369029	0.0395274904256723	PARP9/DTX3L	2
BP	GO:0043301	negative regulation of leukocyte degranulation	2/153	14/18903	0.00555653689791112	0.0485653189369029	0.0395274904256723	CEACAM1/LGALS9	2
BP	GO:0046598	positive regulation of viral entry into host cell	2/153	14/18903	0.00555653689791112	0.0485653189369029	0.0395274904256723	LGALS9/TRIM21	2
BP	GO:0071888	macrophage apoptotic process	2/153	14/18903	0.00555653689791112	0.0485653189369029	0.0395274904256723	IRF7/NOD2	2
BP	GO:0075294	positive regulation by symbiont of entry into host	2/153	14/18903	0.00555653689791112	0.0485653189369029	0.0395274904256723	LGALS9/TRIM21	2
BP	GO:0002705	positive regulation of leukocyte mediated immunity	5/153	140/18903	0.00565711816579334	0.0492690858694625	0.0401002889019841	RSAD2/FCGR1A/NOD2/SH2D1B/FCER2	5
BP	GO:0033003	regulation of mast cell activation	3/153	45/18903	0.00575294951498853	0.0499266572749535	0.0406354886701254	PLSCR1/LGALS9/BLK	3
BP	GO:0002440	production of molecular mediator of immune response	8/153	333/18903	0.00581291958328324	0.050269473579379	0.0409145081121381	RSAD2/FFAR2/BST2/NOD2/MYD88/HLA-DOB/HLA-DQB1/VPREB3	8
BP	GO:0038061	NIK/NF-kappaB signaling	5/153	142/18903	0.00600180515302386	0.0517208191432512	0.0420957635663612	EIF2AK2/IFI35/LGALS9/NOD2/TLR2	5
BP	GO:0002920	regulation of humoral immune response	3/153	46/18903	0.0061182537923399	0.0525399696293244	0.0427624731382167	SERPING1/NOD2/FCER2	3
BP	GO:0010273	detoxification of copper ion	2/153	15/18903	0.00637750161153934	0.054197729958272	0.0441117303234865	MT2A/MT1A	2
BP	GO:0032897	negative regulation of viral transcription	2/153	15/18903	0.00637750161153934	0.054197729958272	0.0441117303234865	IFITM3/TRIM21	2
BP	GO:1990169	stress response to copper ion	2/153	15/18903	0.00637750161153934	0.054197729958272	0.0441117303234865	MT2A/MT1A	2
BP	GO:0042269	regulation of natural killer cell mediated cytotoxicity	3/153	47/18903	0.00649712487391914	0.0548348408602935	0.0446302772131396	CEACAM1/LGALS9/KLRB1	3
BP	GO:0097028	dendritic cell differentiation	3/153	47/18903	0.00649712487391914	0.0548348408602935	0.0446302772131396	BATF2/LGALS9/BLK	3
BP	GO:1903706	regulation of hemopoiesis	9/153	413/18903	0.00655684620058371	0.0550042614899176	0.0447681692822534	ISG15/CCR1/STAT1/CEACAM1/IRF7/LGALS9/MAFB/TNFAIP6/KLF13	9
BP	GO:0070371	ERK1 and ERK2 cascade	8/153	340/18903	0.00656199047904962	0.0550042614899176	0.0447681692822534	GBP1/CCR1/CCL2/CCL8/CEACAM1/HESX1/LGALS9/NOD2	8
BP	GO:0007159	leukocyte cell-cell adhesion	9/153	414/18903	0.00665737146858066	0.0556139602953541	0.045264405366397	CCL2/TNFSF13B/CEACAM1/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	9
BP	GO:0071674	mononuclear cell migration	6/153	206/18903	0.00668882291852623	0.0556872850437302	0.0453240846468557	CXCL10/CCR1/CCL2/CCL8/LGALS9/C3AR1	6
BP	GO:0006953	acute-phase response	3/153	48/18903	0.00688968678789289	0.0566854212127791	0.0461364713196758	PLSCR1/HP/CD163	3
BP	GO:0032620	interleukin-17 production	3/153	48/18903	0.00688968678789289	0.0566854212127791	0.0461364713196758	NOD2/JAK2/MYD88	3
BP	GO:0032660	regulation of interleukin-17 production	3/153	48/18903	0.00688968678789289	0.0566854212127791	0.0461364713196758	NOD2/JAK2/MYD88	3
BP	GO:2000106	regulation of leukocyte apoptotic process	4/153	93/18903	0.00690103458575771	0.0566854212127791	0.0461364713196758	IRF7/LGALS9/NOD2/BLK	4
BP	GO:0002687	positive regulation of leukocyte migration	5/153	148/18903	0.00712432269466415	0.0579906731726563	0.0471988206561264	CXCL10/CCR1/CCL8/LGALS9/C3AR1	5
BP	GO:0002399	MHC class II protein complex assembly	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	HLA-DOB/HLA-DQB1	2
BP	GO:0002503	peptide antigen assembly with MHC class II protein complex	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	HLA-DOB/HLA-DQB1	2
BP	GO:0002730	regulation of dendritic cell cytokine production	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	BST2/NOD2	2
BP	GO:0006878	cellular copper ion homeostasis	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	MT2A/SCO2	2
BP	GO:1900044	regulation of protein K63-linked ubiquitination	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	NOD2/PARP10	2
BP	GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	PARP9/DTX3L	2
BP	GO:2001212	regulation of vasculogenesis	2/153	16/18903	0.00725007466468261	0.0579906731726563	0.0471988206561264	CEACAM1/RIN2	2
BP	GO:0043300	regulation of leukocyte degranulation	3/153	49/18903	0.00729605782180406	0.0579906731726563	0.0471988206561264	CEACAM1/LGALS9/BLK	3
BP	GO:0043330	response to exogenous dsRNA	3/153	49/18903	0.00729605782180406	0.0579906731726563	0.0471988206561264	IFIT1/IFIH1/NOD2	3
BP	GO:0043434	response to peptide hormone	9/153	421/18903	0.0073946602942432	0.0585847925247138	0.0476823765662745	RETN/TNFSF10/STAT1/CEACAM1/STAT2/TLR2/JAK2/SORT1/CYBB	9
BP	GO:0045638	negative regulation of myeloid cell differentiation	4/153	95/18903	0.00743197323127382	0.0586910812090306	0.0477688853145676	CEACAM1/MAFB/TNFAIP6/KLF13	4
BP	GO:0002269	leukocyte activation involved in inflammatory response	3/153	50/18903	0.00771635062844984	0.0607415293060026	0.0494377525081857	TLR2/JAK2/MYD88	3
CC	GO:0042581	specific granule	10/159	160/19869	6.59449057509053e-07	0.0001529921813421	0.000135360596015016	CLEC12A/TCN1/RETN/HP/CEACAM1/MCEMP1/CLEC4D/C3AR1/CKAP4/CYBB	10
CC	GO:0035579	specific granule membrane	7/159	91/19869	8.48370436696797e-06	0.000984109706568285	0.000870695974504608	CLEC12A/CEACAM1/MCEMP1/CLEC4D/C3AR1/CKAP4/CYBB	7
CC	GO:0030139	endocytic vesicle	12/159	343/19869	2.12897357973289e-05	0.00164640623499343	0.00145666613350145	FCGR1A/MPO/HP/ABCA1/RIN2/TAP1/NOD2/TLR2/CYBB/CD163/GNLY/HLA-DQB1	12
CC	GO:0030667	secretory granule membrane	11/159	313/19869	4.54479707767365e-05	0.00248503248729903	0.00219864489575005	CLEC12A/CEACAM1/CD38/MCEMP1/CLEC4D/BST2/TLR2/LAMP3/C3AR1/CKAP4/CYBB	11
CC	GO:0070820	tertiary granule	8/159	164/19869	5.35567346400653e-05	0.00248503248729903	0.00219864489575005	CLEC12A/TCN1/HP/CEACAM1/MCEMP1/CLEC4D/TNFAIP6/CYBB	8
CC	GO:0009897	external side of plasma membrane	13/159	462/19869	9.09966206001268e-05	0.00351853599653824	0.00311304228368855	FCGR1A/CXCL10/CCR1/ABCA1/CLEC4D/TCN2/CD163/CD6/CXCR5/CD79A/FCER2/CD79B/CD19	13
CC	GO:0045335	phagocytic vesicle	7/159	139/19869	0.00012985028511748	0.00430360944960793	0.00380763993953514	MPO/ABCA1/TAP1/NOD2/TLR2/CYBB/GNLY	7
CC	GO:0070821	tertiary granule membrane	5/159	73/19869	0.000298519780515262	0.0086570736349426	0.0076593891053258	CLEC12A/CEACAM1/MCEMP1/CLEC4D/CYBB	5
CC	GO:0005765	lysosomal membrane	11/159	418/19869	0.000559488958412704	0.0129801438351747	0.0114842470411029	IFITM3/IFITM1/CHMP5/DTX3L/BST2/LAMP3/C3AR1/CKAP4/SORT1/HLA-DOB/HLA-DQB1	11
CC	GO:0098852	lytic vacuole membrane	11/159	418/19869	0.000559488958412704	0.0129801438351747	0.0114842470411029	IFITM3/IFITM1/CHMP5/DTX3L/BST2/LAMP3/C3AR1/CKAP4/SORT1/HLA-DOB/HLA-DQB1	11
CC	GO:0071682	endocytic vesicle lumen	3/159	23/19869	0.000791732946514634	0.0166983675992177	0.014773964073718	MPO/HP/GNLY	3
CC	GO:0005774	vacuolar membrane	11/159	461/19869	0.0012410433783402	0.0239935053145771	0.0212283735768718	IFITM3/IFITM1/CHMP5/DTX3L/BST2/LAMP3/C3AR1/CKAP4/SORT1/HLA-DOB/HLA-DQB1	11
CC	GO:0005766	primary lysosome	6/159	155/19869	0.00156676335538131	0.0259635070320331	0.0229713424285229	RNASE2/RETN/MPO/BST2/C3AR1/CKAP4	6
CC	GO:0042582	azurophil granule	6/159	155/19869	0.00156676335538131	0.0259635070320331	0.0229713424285229	RNASE2/RETN/MPO/BST2/C3AR1/CKAP4	6
MF	GO:0003725	double-stranded RNA binding	10/157	76/18432	8.88078622289249e-10	3.10827517801237e-07	2.74836963108463e-07	OASL/DDX60/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/ZBP1/DHX58/DDX60L	10
MF	GO:0030246	carbohydrate binding	11/157	275/18432	2.4404490719085e-05	0.00288841355025482	0.00255396566548848	FBXO6/CLEC12A/SIGLEC1/LGALS9/CLEC4D/VCAN/GALM/CD72/KLRF1/FCER2/KLRB1	11
MF	GO:1990404	NAD+-protein ADP-ribosyltransferase activity	4/157	22/18432	3.28814615325138e-05	0.00288841355025482	0.00255396566548848	PARP9/PARP12/PARP14/PARP10	4
MF	GO:0003950	NAD+ ADP-ribosyltransferase activity	4/157	23/18432	3.95406241633736e-05	0.00288841355025482	0.00255396566548848	PARP9/PARP12/PARP14/PARP10	4
MF	GO:0003724	RNA helicase activity	6/157	77/18432	4.99687184610079e-05	0.00288841355025482	0.00255396566548848	DDX60/IFIH1/DHX58/DDX60L/HELZ2/MOV10	6
MF	GO:0016763	pentosyltransferase activity	5/157	48/18432	5.35960282965387e-05	0.00288841355025482	0.00255396566548848	PARP9/PARP12/PARP14/TYMP/PARP10	5
MF	GO:0008186	ATP-dependent activity, acting on RNA	6/157	79/18432	5.77682710050965e-05	0.00288841355025482	0.00255396566548848	DDX60/IFIH1/DHX58/DDX60L/HELZ2/MOV10	6
MF	GO:0140375	immune receptor activity	7/157	148/18432	0.000278759612490852	0.0121957330464748	0.0107835955358303	FCGR1A/CCR1/C3AR1/CXCR5/HLA-DOB/KLRF1/HLA-DQB1	7
MF	GO:0005126	cytokine receptor binding	9/157	273/18432	0.000564790235868355	0.0219640647282138	0.019420857233368	CXCL10/CCL2/CCL8/TNFSF13B/TNFSF10/STAT1/IL1RN/JAK2/MYD88	9
MF	GO:0032813	tumor necrosis factor receptor superfamily binding	4/157	49/18432	0.000796635490205569	0.0278822421571949	0.0246537720126776	TNFSF13B/TNFSF10/STAT1/MYD88	4
MF	GO:0003727	single-stranded RNA binding	5/157	89/18432	0.000982008023159565	0.0312457098278043	0.0276277855319533	DDX60/IFIH1/IFIT5/DHX58/DDX60L	5
MF	GO:0038187	pattern recognition receptor activity	3/157	27/18432	0.00152613851972164	0.0445123734918812	0.0393583091928212	CLEC4D/NOD2/TLR2	3
MF	GO:0004386	helicase activity	6/157	155/18432	0.00213842026755513	0.0533777886238845	0.0471972025726979	DDX60/IFIH1/DHX58/DDX60L/HELZ2/MOV10	6
MF	GO:0005164	tumor necrosis factor receptor binding	3/157	31/18432	0.00228761951245219	0.0533777886238845	0.0471972025726979	TNFSF13B/TNFSF10/STAT1	3
MF	GO:0070566	adenylyltransferase activity	3/157	31/18432	0.00228761951245219	0.0533777886238845	0.0471972025726979	OAS1/OAS2/OAS3	3
